mag_1,mag_2,mag_3,mag_4,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,strongest_sensor,rssi,label
4064.62753521156,2894.8179562798073,4631.132582857027,1882.5084329160388,152,717,3998,1123,-1551,2171,260,-2258,4035,-1602,797,-585,3368.2716268161084,4631.132582857027,1882.5084329160388,2748.624149940988,1062.0004698612745,1959.2168644363703,222.90223785915077,2182.119102295521,-1736.3146265772198,3,-46,keys
3034.793238426631,3819.888218259796,6787.882585902617,1456.353322514835,2771,1180,373,1441,-3147,1616,-1895,-6511,302,-936,-113,1110,3774.72934127597,6787.882585902617,1456.353322514835,5331.529263387782,1936.717880877409,2273.217141777309,-694.7772258655127,1578.439915911796,-2967.994367642821,3,-71,keys
9154.828125093338,812.313363179506,6389.278597776121,10819.943484140756,-5397,-5162,-5295,-187,778,-140,3397,-4886,-2326,4762,-8193,-5222,6794.0908925474305,10819.943484140756,812.313363179506,10007.63012096125,3798.884861877767,1955.9249377745984,-3621.040296822018,-1665.115359047419,-5576.965234596615,4,-72,magnet
3081.3948140412,2920.8416595221315,3631.136048125986,782.0773619022609,-1121,2047,2012,872,-1946,1996,1285,-1530,3032,136,443,-630,2603.862470897894,3631.136048125986,782.0773619022609,2849.058686223725,1084.286047429142,1504.8059203713965,794.5115317675422,2299.317452138939,-710.2943886038543,3,-46,keys
2045.0290951475483,3467.2799137075735,3796.984856435432,1296.8939817887967,760,1760,-712,1243,-2790,1641,-535,-2345,2938,-266,-237,1247,2651.5469617698377,3796.984856435432,1296.8939817887967,2500.0908746466357,1022.3009388282604,538.9200280433051,209.21508531544623,748.1351133587516,-329.7049427278589,3,-45,batteries
3853.03166350862,3706.0854010667376,1568.5177716557755,2198.7400937809816,3388,1650,-803,1236,-3182,1443,-1468,-482,-270,-1408,-937,1405,2831.5937325030286,3853.03166350862,1568.5177716557755,2284.5138918528437,975.1840513716204,-241.6380298416616,1895.9295995693,1654.291569727638,2137.5676294109617,1,-72,keys
518.9874757641074,2537.9466109435793,2016.70176278001,890.5301791629523,140,482,-132,847,-2058,1220,6,-1773,961,212,-160,850,1491.0415071626624,2537.9466109435793,518.9874757641074,2018.959135179472,818.2041150703757,-446.393775781207,74.85107238236219,-371.5427033988449,521.2448481635693,2,-65,usb
615.0292675962665,2504.235012933091,2852.5570984644637,931.2776170401606,-281,470,-280,1330,-1913,918,327,-2347,1588,-465,-317,742,1725.7747490084955,2852.5570984644637,615.0292675962665,2237.5278308681973,967.0341336709184,16.036868043739105,-332.2852174876334,-316.2483494438941,-348.3220855313725,3,-66,empty
1797.3861577301634,3454.5415035862575,3040.518047964853,1071.2123972396885,633,1582,-572,1162,-2802,1653,-475,-2055,2190,46,-376,1002,2340.9145266302403,3454.5415035862575,1071.2123972396885,2383.329106346569,953.569178933294,156.07515243453508,570.0986080559401,726.1737604904749,414.02345562140454,2,-46,batteries
595.273046592906,2563.4172504686007,2730.231308882088,847.5476387790836,205,527,-186,852,-2100,1198,37,-2165,1663,232,-193,792,1684.1173111806695,2730.231308882088,595.273046592906,2134.958262289182,968.6270604219106,-42.73026688634536,-209.5443252998325,-252.27459218617764,-166.81405841348715,3,-65,usb
